Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID,Language,release_year,Genres_Source,Moods,Primary_Mood
oye ninne,"drama, family, romance",6.0,0.2047,2017-10-06,"bharath margani, srushti dange, tulasi, thagubothu ramesh, nagineedu vellanki","'oye ninne' charts the story of vishnu, a young man who aspires to be a farmer while his parents want him to aim for something big. he grows up with his cousin veda, whom he shares a love-hate relationship. for vishnu, she's that ""annoying cousin"" everyone has in a family; whom your parents love more than you. vishnu's father believes he's good-for-nothing, but will that change?",0.0,,telugu,2017.0,original,"caring, love",caring
chikkadu dorakadu,"action, adventure, drama, history",6.0,0.2046,1967-12-21,"n.t. rama rao, kanta rao, jayalalithaa j, krishna kumari, mikkilineni",the adventures of chikkadu and dorakadu to find the hidden treasure and to eliminate the baddies from their kingdom.,0.0,,telugu,1967.0,original,"excitement, anger",excitement
pelli pandiri,"family, drama",6.0,0.2044,1998-01-09,"jagapati babu, raasi, prudhviraj, sarath babu, suhasini maniratnam","govind (jagapati babu) and prakash (prithuvi raj) became best friends since prakash's father (raghunath reddy) killed govind's mother in a car accident. despite his father refusal, prakash took murthy into his house. a few years later, when prakash goes to america to study, govind leaves the house after hearing prakash's parents who decide to give off him. an old man accommodates govind and the man begin to call him by that name. govind falls in love with kasturi (raasi) a blind flower seller. kasturi's father (costume krishna) renounced to drink alcohol and he decided to go to work after govind's preach, but he died the next day in a car accident. being kasturi's last relation, he admitted her into a hospital for an eye operation. in order to pay it, he takes come money from a drunk man's house. in a misunderstanding, he was arrested by the police and he was sent to jail.",0.0,,telugu,1998.0,original,love,love
suswagatham,"drama, comedy",5.3,0.2043,1998-01-01,"pawan kalyan, devayani, raghuvaran, prakash raj, karan","this movie starts with a college boy, ganesh (pawan kalyan), who had been following a girl, sandhya (devayani), for the past four years; trying to express his love. many times before sandhya had warned ganesh not to follow her so often. ganesh tries to take help from sandhya's friend (sadhika) but fails. ganesh, on his birthday, tries to express his love to sandhya but was caught by her father, (prakash raj), who was a police officer who puts him away for harassing his daughter. later ganesh's father (raghuvaran)bails him out. ganesh's father goes to sandhya's father with a marriage proposal for their offsprings.",3.0,,telugu,1998.0,original,"love, sadness",love
pedababu,"family, action",6.0,0.2039,2004-04-30,"jagapati babu, kaveri, sunil varma, suhasini maniratnam, k. viswanath",peda babu (jagapati babu) is the village head. he stays alone and away from his mother who is staying in the same village along with peda babu's step-father and half siblings. the entire village respects pedababu as village head. but why is pedababu staying away from his mother. he has not spoken a word to her for the past 25 years. what is the reason?,0.0,,telugu,2004.0,original,"caring, approval",caring
darja,action,7.0,0.2036,2022-07-22,"anasuya bharadwaj, sunil varma, shakalaka shankar, sudha, rj hemant","kanaka mahalaksmi is a local don, who does liquor business in bandhar city and known for her ruthlessness. she sets her sights to rule the bandhar port. as everyone including the police are terrified by her, acp shiva shankar is transferred to the same city to get the crimes under control. the face off and the clash between these two powerful characters makes the rest of the story.",1.0,,telugu,2022.0,original,excitement,excitement
madhi,"romance, drama",6.0,0.2035,2022-11-11,"sreeram nimmala, richa joshi, vikram veramaneni, sneha madhuri sharma, srikanth biroju","abhimanyu, aka abhi and madhu, two next-door youngsters, are deeply in love with each other. madhus father gets her married to someone from their caste. in a salvaging effort, madhu and abhi decide to continue their love story even after her marriage.",0.0,,telugu,2022.0,original,love,love
dongala bandi,"adventure, comedy",9.0,0.2035,2008-12-12,"allari naresh, tanya, malishka, ali basha, m. s. narayana",three thieves steal the precious nizam treasure and hide it in a safe place. the rest of the story is all about the treasure hunt that follows.,1.0,,telugu,2008.0,original,"excitement, curiosity",excitement
satyam,"drama, romance",6.3,0.2033,2003-12-19,"sumanth, genelia d'souza, kota srinivasa rao, brahmanandam, tanikella bharani","satyam is an unbelievably nice guy. everybody likes him--except for the two people he loves most, his father and ankita, the girl with whom he is in love with. because he and his father don't get along, sathyam leaves home and starts living with friends. a sensitive man and sensible writer, satyam ghost-writes for a popular film lyricist. he wants to prove himself as lyricist before meeting ankita, when he intends to express his love for her; except in the meanwhile, a flamboyant classmate of ankita proposes to her.",3.0,,telugu,2003.0,original,love,love
oka manchi prema katha,drama,6.0,0.2032,2024-12-19,"rohini hattangadi, rohini, samuthirakani","a 50-year-old corporate executive battling depression finds healing and redemption through reconnecting with her 80-year-old mother, discovering that parental love can restore what ambition has broken.",0.0,,telugu,2024.0,original,"curiosity, love",curiosity
idiot,"romance, action, comedy",5.769,0.203,2002-08-22,"ravi teja, rakshita, prakash raj, ali basha, kota srinivasa rao","chanti, a young man, is rescued by suchitra when he is beaten by thugs. he falls in love with her and tries to woo her, but she does not reciprocate his feelings.",13.0,,telugu,2002.0,original,love,love
siddham,"thriller, action",6.0,0.2027,2009-02-12,"jagapati babu, sindhu menon, kota srinivasa rao, radha ravi, bharath reddy",daya (jagapati babu) is a sincere cop and an encounter specialist. he handles his job professionally and does not hold anything personal. salim (kota prasad) is his assistant who is greedy about increasing the encounters count so that he could get more publicity from the media. the city commissioner (kota) is retired and a new commissioner takes the charge. the new commissioner has his own agenda and he discourages daya from performing his duty in fair manner. the rest of the story is all about how daya takes law into his hands and cleans up the mafia gang in his own indomitable style.,0.0,,telugu,2009.0,original,"anger, approval",anger
manoharam,"action, thriller",6.5,0.2026,2000-05-13,"jagapati babu, prakash raj, laya, mukesh rishi, l. b. sriram","the film begins with the isi moles scheming to destabilize india, followed by bomb blasts in coimbatore and hyderabad. basha, an isi agent, enters india to plant bombs at various places. anand is a regular bank employee and through a case of mistaken identity by police, he exposes the nefarious isi network. anand is tried and sentenced to 14 years imprisonment. anand's wife usha tries to prove her husband's innocence with the help of cbi officer srinivasa murthy.",2.0,,telugu,2000.0,original,confusion,confusion
gandharwa,"thriller, mystery",6.0,0.2026,2022-07-08,"sandeep madhav, gayathri suresh, sai akshitha, sai kumar, posani krishna murali",captain avinash marries amulya in 1971 and immediately called to duty by the army headquarters. unfortunately avinash disappears in a deep valley while chasing the enemy. somehow avinash wakes up in 2021 but his attire and age remains as he was in 1971.,0.0,,telugu,2022.0,original,"fear, excitement",fear
nenu meeku telusa...?,"action, thriller",7.3,0.2024,2008-10-10,"manchu manoj, sneha ullal, riya sen, kausha rach","aditya (manoj manchu) has a strange disorder. his memory keeps refreshing every night he sleeps, but he wakes up with a blank mind every day. only two people (his uncle and his personal doctor) know about his problem. he falls in a situation where he is accused of a murder. the rest of the story is all about how he rescues himself.",3.0,,telugu,2008.0,original,"excitement, anger",excitement
vijayendra varma,drama,2.5,0.2023,2004-12-04,"nandamuri balakrishna, laya, ankitha, mukesh rishi, ashish vidhyarthi","an un-named man (bala krishna) lives with his wife (laya), daughter and in-laws. he does not have a name nor does he know who he is. he cannot remember anything that has happened 7 years before. however, he realizes that he possesses special combat skills whenever he comes across evil elements. when he forces his wife to tell the truth, she reveals that he was found in river in a mutilated state and he was taken care of by her. as the man goes to hyderabad searching for his identity, a few incidents lead to the answer. he discovers that he is none other than the most respected and committed indian army officer, vijayendra varma. the rest of the story is about how he retraces his past and saves the nation from pakistani jihadis.",4.0,,telugu,2004.0,original,"realization, caring",realization
malli pelli,drama,6.0,0.2022,1939-12-17,"kanchanamala, y. v. rao, balijepalli lakshmikanta kavi, bejawada rajaratnam, manikyamma","torn between toxic marriages, narendra, a renowned actor, and his co-star parvathi fall in love and desire escape, freedom, and a peaceful life together. however, their love affair runs into trouble owing to a conspiracy.",0.0,,telugu,1939.0,original,"desire, love",desire
evol,"crime, thriller",3.5,0.2018,2024-08-15,"jenifer emmanuel john, surya srinivas, divya sharmaa, shiva ramachandravarapu","revolves around two married couples entangled in a complex web where trust is eroded, shocking betrayals are revealed and lives spiral into an intricate web of intrigue.",4.0,,telugu,2024.0,original,surprise,surprise
desa drohulu,drama,6.0,0.2018,1995-01-01,"bhanuchander, sarath babu, tanikella bharani, sakshi ranga rao, ali basha","desa drohulu (transl. traitors) is a 1964 indian telugu-language action-drama film, produced and directed by bolla subba rao under the sri rama pictures banner. it stars n. t. rama rao, devika, kanta rao, and music composed by s. rajeswara rao.",1.0,,telugu,1995.0,original,"sadness, neutral",sadness
agni,"action, drama",6.0,0.2011,1989-08-09,"nagarjuna akkineni, shanti priya, rao gopal rao, kaikala satyanarayana, vanisri",shiva works in a company and is in love with the owner's daughter. his boss is a corrupt man who eventually traps and blames shiva for all the frauds carried out by him and his crooked friends.,0.0,,telugu,1989.0,original,love,love
neeli megha shyama,"romance, comedy",6.0,0.2008,2025-01-09,"vishwadev rachakonda, paayal radhakrishna, nellore sudharshan, tanikella bharani, harshavardhan","shyam, seeking escape from a clash with his father, embarks on a treacherous trek in the himalayas. megha is a seasoned guide who accompanies him. a snowstorm traps them in a remote homestay in the middle of their journey. shyam falls for megha's strength, but megha doesn't respond",0.0,,telugu,2025.0,original,approval,approval
doctor chakravarthy,drama,7.0,0.2008,1964-07-10,"nageshwara rao akkineni, savitri, kongara jaggayya, sowcar janaki","dr chakravarthi gets attached to madhavi after his sister's death as she reminds him of his sister. however, their spouses misunderstand their relationship and mistake them to be lovers.",1.0,,telugu,1964.0,original,"love, sadness",love
valayam,"drama, mystery, thriller",5.5,0.2007,2020-02-21,"digangana suryavanshi, laksh chadalavada, kalpalatha, kireeti damaraju, noel sean","when his wife goes missing, arvind must solve the mystery of her disappearance before time runs out and he becomes the prime suspect.",2.0,,telugu,2020.0,original,confusion,confusion
cheppave chirugali,"romance, comedy",7.0,0.2006,2004-09-24,"venu thottempudi, ashima bhalla, abhirami, kiran rathod, kaikala satyanarayana","venu is a receptionist at a lowly beachside hotel in vizag. he has a beautiful neighbor nirmala. her father's financial status is in bad shape and venu helps them monetarily and morally. in the process nirmala falls in love with venu and nirmala's family approves their relationship. later on a well-off guy, ramji, starts helping nirmala and family out with luxurious items and better living conditions. nirmala's father falling for this windfall, forces nirmala to accept ramji's marriage proposal by dumping venu.",2.0,,telugu,2004.0,original,"caring, love",caring
calling sahasra,"thriller, crime, horror",7.0,0.2002,2023-12-01,"sudigali sudheer, siva balaji, dollysha, spandana palli, manali rathod",cyber expert ajay joins new job but past tragedy motivates avenging crimes on women using resq app anonymously. mass calls draw him into murder case amidst rescuing women.,1.0,,telugu,2023.0,original,anger,anger
nartanasala,"drama, romance, comedy",5.7,0.2001,2018-08-29,"yamini bhaskar, jayaprakash reddy, naga shaurya, v. s. roopa lakshmi, kashmira pardesi","radha krishna runs a boxing school for women and saves manasa, who is being harassed by a man, and falls in love with her. his father kalamandir kalyan arranges his marriage with satyabhama, daughter of a powerful leader. to avoid this marriage radha krishna claims he is gay. the marriage is cancelled, but trouble starts as radha krishna gets a proposal from a man.",6.0,,telugu,2018.0,original,"excitement, love",excitement
yuvakudu,"drama, romance",6.0,0.2001,2000-01-01,"sumanth, bhumika chawla, jayasudha, venu madhav, ali basha","siva, a jovial college student, falls in love with a girl, who later rejects him. his mother decides to befriend the girl and persuade her to marry her son.",1.0,,telugu,2000.0,original,love,love
kirathakudu,crime,6.0,0.1998,1986-01-09,"chiranjeevi, suhasini maniratnam, kongara jaggayya, gummadi, nutan prasad","kiratakudu is a action oriented movie in which, chiranjeevi played a rather unusual role, who hates his father to the core and does not support him even when is getting destroyed. chakravarthy (jaggayya), who is a prominent industrialist in the city, is president of the interpol and his son charan (chiru) is a reputed sportsman, but there is no love between them. charan, spends his life with friends and alchohol to overcome his loneliness.despite chakravarti",0.0,,telugu,1986.0,original,"love, optimism",love
tirumala tirupati venkatesa,comedy,6.0,0.1996,2000-12-21,"ravi teja, srikanth, brahmanandam, maheswari, roja selvamani",three sisters are obsessed with money and dream to marry wealthy grooms. they marry three prospective grooms but later learn that they are ordinary people and refuse to live with them.,0.0,,telugu,2000.0,original,optimism,optimism
asvins,"horror, mystery, thriller",4.4,0.1995,2023-06-23,"vasanth ravi, saras menon, muralidaran, udayaraj, vimala raman",a group of youtubers who accidentally unleash a 1500-year-old evil that crosses over from the realm of darkness to the human world.,8.0,,telugu,2023.0,original,"fear, surprise",fear
naaga,"action, drama",4.0,0.1988,2003-01-10,"n.t. rama rao jr., raghuvaran, sadha, nasaar, jennifer kotwal",a man wages a battle against politicians and their dishonourable ways of campaigning when some political goons harm his father and sister due to a trivial issue.,3.0,,telugu,2003.0,original,"excitement, anger",excitement
ongole githa,"action, comedy",2.9,0.1988,2013-02-01,"ram pothineni, kriti kharbanda, prakash raj, ajay, raghu babu",white(ram) enters the chilli market yard in ongole at the age of 12. adikeshava (prakash raj) is the chairman of that chilli yard. white comes to know of adikeshava's real character and asks him to arrange a marriage with his daughter in certain situations to which adikeshava agrees. then what happens to white and adikeshava?? why white is doing all these things? is there any intention for his deeds?? watch the movie and find out,5.0,,telugu,2013.0,original,"excitement, anger",excitement
anthuleni katha,"family, drama",7.0,0.1988,1976-02-27,"jaya prada, rajinikanth, sripriya, fatafat jayalakshmi, g. v. narayana rao",saritha sacrifices her comforts and the prospect of a life with her boyfriend for the sake of her family. things take a turn when her boss proposes to marry her.,1.0,,telugu,1976.0,original,caring,caring
romeo,drama,4.0,0.1987,2014-10-10,"sairam shankar, adonika, subbaraju, pragathi mahavadi, ravi teja","in rome, a young man starts following an expat indian girl around. it turns out he's harboring a dark secret, and insists that the girl accompany him back to india.",1.0,,telugu,2014.0,original,curiosity,curiosity
vamsodharakudu,"drama, romance",6.0,0.1987,2000-01-14,"nandamuri balakrishna, krishnam raju, ramya krishnan, sakshi shivananda, charan raj","suryam is a physical director in a local college and lives with his mother varalakshmi, a widow. the college in which suryam work belongs to an industrialist called sudarshan rao.",1.0,,telugu,2000.0,original,"sadness, neutral",sadness
jai sena,"action, drama",6.0,0.1986,2021-01-29,"srikanth, nandamuri taraka ratna, srikanth, sunil varma, prudhviraj","four agricultural engineering students wanted to help the farmers with the latest techniques in farming. they approach the concerned minister for this, but the minister didnt support their ideologies and sends them out. the youngsters decided to loot the ministers bank balance to use it for the agricultural project. as per their plans, they loot his money from bank, which is unaccounted for. devadas, a tough cop, deals with the case. how do the students escape? were they able to serve the farmers? the answers form the rest of the story.",0.0,,telugu,2021.0,original,"excitement, anger",excitement
yuvatha,"comedy, drama",7.0,0.1983,2008-11-07,"nikhil siddhartha, aksha pardasany, sayaji shinde, jeeva, narsing yadav","yuvatha is a 2008 telugu film directed by parasuram starring nikhil siddharth and aksha pardasany in the lead. it was released on 7 november 2008 to rave reviews and was declared a super hit at the box office. babu (nikhil siddharth), an orphan brought up by his uncle and aunt believes that they swindled his property. once when his uncle chides him, he leaves home for hyderabad to stay with his friends, whom he trusts. kind-hearted as he is, babu believes that life is to be happy and make others happy. babu meets baby (aksha pardasany) accidentally and they become good friends. whenever she is lonely, babu along with his three friends, a software engineer, a security guard and an assistant film director cheer her up. once during her birthday, some goons tease baby and babu thrashes them. later they settle scores with babu, but his friend, the assistant director, suffers grievous injuries.",2.0,,telugu,2008.0,original,"joy, love",joy
aho vikramaarka!,action,6.0,0.8816,2024-08-30,"dev gill, chitra shukla, mahesh manjrekar, sayaji shinde, puja banerjee",,0.0,,telugu,2024.0,original,"excitement, anger",excitement
rowdy alludu,"comedy, action",7.3,0.1976,1991-10-18,"chiranjeevi, shobana, divya bharti, kota srinivasa rao, brahmanandam","kalyan is an industrialist whose conniving enemies first replace him with an imposter, johnny, and then frame him for murder. but when johnny realises kalyan's innocence, he decides to help him.",3.0,,telugu,1991.0,original,"joy, amusement",joy
swathi kiranam,"drama, family, music",8.3,0.1975,1992-10-05,"manjunath, mammootty, radikaa sarathkumar, achyuth, jayanthi",an egotistical music teacher envious of the extraordinary talent of his prodigious young disciple.,3.0,,telugu,1992.0,original,"sadness, neutral",sadness
ra ra krishnayya,"comedy, drama, romance",6.2,0.1971,2014-07-04,"sundeep kishan, regina cassandra, jagapati babu, tanikella bharani, brahmaji","kittu / krishna is a cab driver who saves his money with the cab owner. when the owner refuses to return his money back, kittu kidnaps owners daughter nandu. nandu who is fed up with her fathers unilateral decision about her marriage is happy with the kidnapping. they fall in love with each other in the process. when they were about to accept the ransom money, she gets kidnapped by another kidnapper. the rest of the story is all about who kidnapped her and the kidnappers connection with kittu",5.0,,telugu,2014.0,original,"joy, love",joy
garam,"action, romance",4.0,0.197,2016-02-12,"aadi saikumar, adah sharma, brahmanandam, madhunandan, tanikella bharani","varala babu (aadi), who is poor at studies, would always face criticism from his father (tanikella bharani) and, he is jobless. he is asked to leave the house and challenges his father that he will prove to himself. he leaves for hyderabad in search of a job, but he ends up falling in love with sameera (adah sharma). in the process of wooing her, varala babu comes across ravi (chaitanya krishna), a childhood rival of babu in studies in a paralyzed and bedridden state in a hospital, and he saves ravi from the baddies. sameera is already facing an issue with biju (kabir duhan singh). varala babu is now left with a responsibility to save his friend and loved one from biju.",1.0,,telugu,2016.0,original,love,love
raju maharaju,"family, action",7.0,0.1968,2009-06-19,"mohan babu, sharwanand, surveen chawla, ramya krishnan, nasaar","chakravarthy and kalyan are brothers. chakravarthy is a noble and hardworking business magnate. kalyan is an irresponsible brat who doesnt even care if a person is killed because of him. kalyan loves sneha at the first sight and irritates her though she tells him that she doesnt love him. in the process, kalyan inadvertently kills the father of sneha. and sneha seeks the entire property of chakravarthy to withdraw police complaint against kalyan. the rest of the story is about how kalyan learns about life and responsibility from chakravarthy and wins everybodys heart.",1.0,,telugu,2009.0,original,"love, caring",love
avunu valliddaru ishtapaddaru!,"romance, drama, family",6.8,0.1968,2002-08-02,"ravi teja, kaveri, m. s. narayana, kota srinivasa rao, tanikella bharani",anil and swathi live in the same room without invading each other's personal space. things get interesting when they exchange letters and gradually fall in love.,5.0,,telugu,2002.0,original,love,love
kalusukovalani,"romance, drama",6.0,0.1966,2002-02-08,"gajala, uday kiran, kaikala satyanarayana, giri babu","on his trip to switzerland, ravi, a talented youngster falls in love with anjali. however, the two lose touch when anjali returns to india. still pining for anjali, ravi sets out to find her.",1.0,,telugu,2002.0,original,love,love
dalam,"action, thriller",6.0,0.1965,2013-08-15,"naveen chandra, pia bajpiee, nasaar, kishore, ajay","dalam is a 2013 telugu-tamil bilingual action thriller film by debutant director m jeevan,a protg of noted indian director ram gopal varma. the telugu version dalam was produced by m. sumanth kumar reddy under the banner of mammoth media & entertainment and released on the first week of 15 august 2013, while koottam, the tamil version, will release in 2014. the film starring naveen chandra, piaa bajpai and kishore, tells the story of a group of former naxals and their struggles agains the police and politicians to start their lives afresh.",0.0,,telugu,2013.0,original,"excitement, anger",excitement
kalki,"thriller, action, crime",6.9,0.1964,2019-06-28,"dr. rajasekhar, adah sharma, nandita swetha, ashutosh rana, nasaar",a police officer gets assigned to investigate a crime scene in a town and finds out about a chain of crimes surrounding it. he begins digging deeper and finds out theres more to it than whats on surface.,4.0,,telugu,2019.0,original,"fear, excitement",fear
kokilamma,"drama, music",6.0,0.1964,1983-05-07,"rajeev, saritha, swapna, sanjay",kokilamma is a 1983 telugu film directed by k. balachander. the title role of kokilamma is played with humility by saritha. it is a musical hit film with some excellent songs penned acharya atreya and music score provided by m. s. viswanathan. the andhra pradesh government has also awarded k. balachander the nandi award for best screenplay writer for his film kokilamma in 1982.,0.0,,telugu,1983.0,original,"sadness, neutral",sadness
vicky dada,"action, crime",5.0,0.1963,1989-09-03,"nagarjuna akkineni, radha, juhi chawla mehta","vicky daada is a 1989 telugu-language crime film produced by d. sivaprasad reddy under the kamakshi art movies banner, directed by a. kodandarami reddy. it stars akkineni nagarjuna, radha, juhi chawla in the lead roles and music composed by raj-koti. the film was recorded as a super hit at the box office. the film was dubbed into hindi as meri duniya",1.0,,telugu,1989.0,original,sadness,sadness
okka ammayi thappa,"action, drama, romance",3.0,0.1958,2016-06-10,"sundeep kishan, nithya menen, ravi kishan, rahul dev, ali basha","in an attempt to free their jailed terrorist boss, aslam, a group of terrorists plants a bomb on a flyover in hyderabad. their idea is to cause a traffic jam on the flyover and blackmail the government into releasing aslam. krishna is an average young man who goes out to withdraw money from an atm. unfortunately, he along with nithya menen and many others get caught in the traffic jam on the same flyover. what happens next? watch to find out",1.0,,telugu,2016.0,original,"anger, fear",anger
shadow,"action, drama, romance",6.5,0.1958,2013-04-26,"venkatesh, taapsee pannu, aditya pancholi, nasaar, srikanth","raghurman infiltrates nana bhai's criminal organisation to find evidence of his wrongdoings. when nana learns of his plans, he massacres raghurman's family and only his son rajaram escapes. when he grows up, rajaram sets out to destroy nana bhai.",4.0,,telugu,2013.0,original,"caring, realization",caring
chinnodu,"action, crime, drama",6.0,0.1956,2006-10-27,"sumanth, charmy kaur, rahul dev, chandramohan, rajiv kanakala","chinna, born in prison, is raised by the jailor but circumstances cause him to kill the jailor's brother. once out of prison, he returns to his foster family, but they refuse to take him back.",0.0,,telugu,2006.0,original,caring,caring
shourya,"thriller, romance",4.5,0.1955,2016-03-04,"manchu manoj, regina cassandra, prakash raj, brahmanandam, sayaji shinde","shourya (manoj) completes his studies in the renowned harvard university but comes to india to lead a life of a teacher. he helps the needy people. one chance meeting with netra (regina), a mp's daughter, turns into friendship and love blossoms. one day, they head to kotilingala to do the jagaranam (staying awake at the night) in the temple. late in the night, netra's throat is slit by some unknown persons and immediately they take her to the hospital. naturally shourya becomes the suspect. what really happened? who did this? or has shourya slit her throat as the police believe? shourya (manchu manoj) is a highly educated individual who is in deep love with nethra (regina cassendra). due to unknown reasons, the couple decide to elope but an unfortunate series of events lead to nethra being murdered. twist in the tale arises when shourya gets framed for the murder.",2.0,,telugu,2016.0,original,"approval, love",approval
aahaa..!,"family, drama",6.0,0.1954,1998-11-20,"jagapati babu, sanghavi, raghuvaran, vijayakumar, jayasudha","sriram (jagapati babu) is the son of ""pepsi"" parasuram (vijayakumar), who always enjoys his life and his father feels that he is a useless fellow. raghuram (raghuvaran), his elder brother is their father's favorite son. to hide his brother secret he take the blame for everyone's shortcomings, becomes the family scapegoat and his father's favorite whipping boy. the rest of the film examines whether or not raghu is finally vindicated in the eyes of his family.",0.0,,telugu,1998.0,original,"caring, curiosity",caring
raja vikramarka,drama,6.7,0.195,1990-11-13,"chiranjeevi, amala akkineni, radikaa sarathkumar, brahmanandam, jayanthi","vikram is a newly recruit n.i.a. officer who is getting accustomed with the nuances of his new job, has to handle his first major case due to ironic circumstances, during the course of which his life takes a drastic turn in all aspects.",3.0,,telugu,1990.0,original,"sadness, neutral",sadness
luv u alia,"romance, family",2.75,0.1947,2016-06-17,"v. ravichandran, bhumika chawla, sudeep, p. ravi shankar, sadhu kokila",can a boy in love win over his beloved's heart and change her views on love and commitment?,4.0,,telugu,2016.0,original,love,love
gang leader,"action, drama",7.2,0.1947,1991-05-09,"chiranjeevi, vijayashanti, murali mohan, sudha, r. sarathkumar","rajaram, youngest of three brothers, owns up to another's crime in order to fund his middle brother's education. he is shattered when he learns about the culprits behind his eldest brother's murder.",4.0,,telugu,1991.0,original,"joy, realization",joy
bhale bhale magadivoy,"romance, comedy",6.361,0.1946,2015-09-04,"nani, lavanya tripathi, murali sharma, naresh, sithara",forgetful lucky falls in love with the demure nandana. but she doesnt know he has trouble remembering things and her dad does!,18.0,,telugu,2015.0,original,love,love
prasthanam,"action, drama",6.2,0.1945,2010-04-16,"sharwanand, sai kumar, sundeep kishan, pavitra lokesh, madhusudhan rao","chinna, a young man, hates mitra, his stepbrother, who is loyal and obedient to loki, their father, who gives him preference in politics. chinna finds different ways to exact revenge from mitra.",10.0,,telugu,2010.0,original,anger,anger
o pitta katha,"romance, thriller",6.5,0.1941,2020-03-06,"nitya shetty, viswant duddumpudi, brahmaji, sanjay rao, shiva karthik",two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.,2.0,,telugu,2020.0,original,love,love
gaali sampath,"comedy, drama, family",4.7,0.194,2021-03-11,"rajendra prasad, sree vishnu, ashya, rajitha, tanikella bharani","a partially mute man dreams of performing on stage in dramas but often keeps falling in trouble with the villagers due to his eccentric ways. by contrast, his son is a responsible man who dreams of climbing up the ladder and making something of his life. the film explores how the clash of personalities results in problems down the road for this father-son duo.",5.0,,telugu,2021.0,original,optimism,optimism
aakatayi,"thriller, romance, comedy",5.5,0.1939,2017-03-10,"aashish raj, rukshar dhillon, pradeep ram singh rawat, suman talwar, ameesha patel","vikrant, a tech-savvy student, figures out that he is not the biological son of his parents. when his foster parents get mysteriously murdered, he decided to find who his actual dad and mom are.",1.0,,telugu,2017.0,original,"fear, excitement",fear
pooja,"drama, comedy, romance",6.0,0.1938,1975-08-25,"vanisri, ramakrishna, chandramohan, manjula vijayakumar, kanta rao","due to a familial dispute, ramu is not allowed to marry his lady-love, lalitha. he is then forced to marry gouri who struggles to win him over.",0.0,,telugu,1975.0,original,love,love
akkada ammai ikkada abbai,comedy,5.0,0.1936,2025-04-11,"pradeep machiraju, deepika pilli, satya, getup srinu, vennela kishore",akkada ammai ikkada abbaai is a telugu film. directed by nithin-bharath. starring pradeep machiraju and deepika pilli in the lead role.,1.0,,telugu,2025.0,original,"joy, amusement",joy
nakshatram,"action, crime, thriller",2.9,0.1931,2017-08-03,"sundeep kishan, tanish alladi, prakash raj, sai durgha tej, pragya jaiswal",a young boy is made to realise that the police form the backbone of society and every cop is akin to lord hanuman the protector. he then makes up his mind about becoming a cop when he grows up.,4.0,,telugu,2017.0,original,caring,caring
ishq,"thriller, romance",4.0,0.193,2021-07-30,"teja sajja, priya prakash varrier, ravindra vijay, leona lishoy, pramodini pammi","fate brings two individuals together after their flight to hyderabad is forced to land in goa. along the way, they forge a special bond that changes their lives forever.",18.0,,telugu,2021.0,original,caring,caring
maa oori polimera 2,"horror, thriller, crime",5.9,0.1929,2023-11-02,"satyam rajesh, kamakshi bhaskarla, rakendu mouli, getup srinu, sahiti dasari","after a series of spine chilling killings in jastipalli, komaraih elopes to kerala with his first love kavitha. things get more complicated when his brother jangaiyah goes missing. a new si, ravindra naik starts investigating the case of missing jangaiyah and uncovers startling revelations about komaraiah and the ancient temple in jastipalli, with intriguing connections to a world-famous temple in kerala.",4.0,,telugu,2023.0,original,"curiosity, love",curiosity
pourudu,"action, drama",5.2,0.1926,2008-01-13,"sumanth, kajal agarwal, brahmanandam, nasaar, kota srinivasa rao","ajay (sumanth) completes his degree and gets ready for ips examination. his father pandu (suman) works under local mafia don zakeer bhai (nassar). kasi (kota srinivasa rao) runs a rival gang in the same city opposite zakeer bhai. though pandu behaves like a goon, ajay concentrates on his studies and reaches to the stage of completing ips preliminaries. at the same time, he is an expert in martial arts. samyukta (kajal agarwal) is a student of a dance school and she falls in love with ajay. at this juncture, hussain (subbaraju) takes charge as ci and he wants to nab jakeer bhai, pandu and kasi but could not do so due to their political influence.",5.0,,telugu,2008.0,original,love,love
chitram,"romance, comedy",5.5,0.1925,2000-05-25,"uday kiran, reema sen, chitram seenu, amanchi venkata subrahmanyam, chitram basha","janaki comes to india from us and joins a college. here she meets ramana and the two fall in love. soon, she gets pregnant which results in further complications.",2.0,,telugu,2000.0,original,love,love
dhira,animation,9.0,0.1923,2020-11-14,"vijay sethupathi, vivek oberoi, pratik gandhi, jeet, bellamkonda srinivas","when south india was under foreign treachery in the 14th century, vidhyaranya swami along with his disciples hari hara and bukka raya saved the country. they established a new kingdom called vijayanagara, hid the war loot in kishkindha mountain and protected it by dividing the secret in two. swamy then extracts a vow from forest tribe leader and vijayanagara minister to guard this secret.",1.0,,telugu,2020.0,original,"caring, curiosity",caring
aadaalla majaka,romance,6.0,0.1922,1995-01-01,"vikram, sivaranjani, ali basha, srilakshmi, sudhakar","the residents of a women's guest house panic when kittu sneaks into their rooms. they are unaware that he has plans to kill sivarajani, who is responsible for destroying his sister's life.",0.0,,telugu,1995.0,original,"love, desire",love
